age,average_mins_played
18,2
19,2.6
20,37.8
21,3.5
22,17.2
23,4.2
24,1.8
25,3.3
26,10
27,38.5
28,15.2
29,32.8
30,3.3
31,32
32,5
33,22.4
34,26.6
35,19.8
36,28.3
37,17.8
38,8.7
39,17.8
40,21.4
41,20.5
42,10
43,9
