player,COUNT(DISTINCT pt.teamID)
Walt Davis,2
Walt Hazzard,3
Walt Wesley,3
Walt Williams,3
Walter Berry,2
Walter Davis,3
Walter Dukes,2
Walter McCarty,4
Wang Zhizhi,2
Wayman Tisdale,2
Wayne Cooper,2
Wayne Ellington,3
Wayne Embry,2
Wayne Hightower,2
Wes Matthews,5
Wes Unseld,3
Wesley Matthews,6
Wesley Person,3
Will Barton,2
Will Bynum,2
Will Perdue,3
Willie Anderson,3
Willie Green,4
Willie Naulls,2
Willie Norwood,3
Wilson Chandler,2
Wilt Chamberlain,4
Winston Garland,2
Woody Sauldsberry,2
World B. Free,3
Xavier McDaniel,4
Yakhouba Diawara,2
Zach Randolph,2
Zaid Abdul-Aziz,3
Zaza Pachulia,5
Zelmo Beaty,2
Zydrunas Ilgauskas,2
Ã–mer AÅŸÄ±k,3
Å arÅ«nas JasikeviÄius,2
Å arÅ«nas MarÄiulionis,2
Å½an Tabak,2
Å½eljko RebraÄa,2
