player,COUNT(DISTINCT pt.teamID)
David Thompson,2
David Wesley,4
David West,4
David Wingate,4
David Wood,2
DeAndre Jordan,2
DeAndre Liggins,2
DeJuan Blair,2
DeMar DeRozan,3
DeMarcus Cousins,3
DeMarre Carroll,5
DeShawn Stevenson,4
Dee Brown,4
Dell Curry,5
Delon Wright,3
Delonte West,3
Dennis Awtrey,4
Dennis Johnson,3
Dennis Rodman,3
Dennis SchrÃ¶der,3
Dennis Scott,2
DerMarr Johnson,2
Derek Anderson,4
Derek Fisher,3
Derek Harper,3
Derek Smith,2
Derek Strong,2
Deron Williams,4
Derrick Chievous,2
Derrick Coleman,3
Derrick Jones Jr.,3
Derrick McKey,3
Derrick Rose,3
Derrick White,2
Desmond Mason,2
Detlef Schrempf,4
Devean George,2
Devin Brown,4
Devin Harris,3
Dewayne Dedmon,2
Dick Barnett,3
Dick Farley,2
Dick Garrett,2
Dick Gibbs,2
Dick McGuire,2
Dick Snyder,3
Dick Van Arsdale,2
Dike Eddleman,2
Dikembe Mutombo,6
Dion Waiters,2
Dirk Minniefield,2
Doc Rivers,4
Domantas Sabonis,2
Dominique Wilkins,3
Don Adams,3
Don Buse,4
Don Chaney,2
Don Henriksen,2
Don Kojis,3
Don May,2
Don Nelson,2
Don Ohl,4
Don Otten,2
Don Reid,2
Donald Royal,3
Donatas MotiejÅ«nas,2
Donny Marshall,2
Donyell Marshall,3
Dorell Wright,2
Doug Christie,4
Doug McDermott,3
DraÅ¾en PetroviÄ‡,2
Drew Gooden,4
Duane Causwell,2
Duane Ferrell,2
Dudley Bradley,4
Dwayne Jones,3
Dwight Howard,5
Dwight Jones,3
Dwyane Wade,2
DÄvis BertÄns,3
E'Twaun Moore,4
Earl Clark,4
Earl Cureton,3
Earl Lloyd,2
Earl Monroe,2
Earl Watson,2
Ed Conlin,3
Ed Davis,3
Ed Macauley,2
Ed Manning,2
Ed Mikan,3
Ed Nealy,4
Ed Pinckney,2
Ed Sherod,2
Eddie House,5
Eddie Johnson,7
Eddie Jones,5
Eddie Jordan,2
Eddie Mast,2
Eddie Miles,3
Edgar Jones,2
Eduardo NÃ¡jera,2
Ekpe Udoh,3
Elden Campbell,3
Eldridge Recasner,3
Elfrid Payton,2
Elgin Baylor,2
Elmore Smith,3
Elmore Spencer,2
Elston Turner,3
Elton Brand,3
Elvin Hayes,5
Em Bryant,2
Emeka Okafor,2
Enes Freedom,4
Ennis Whatley,3
Eric Bledsoe,2
Eric Fernsten,2
Eric Gordon,2
Eric Leckner,2
Eric Money,2
Eric Montross,3
Eric Murdock,2
Eric Piatkowski,4
Eric Snow,3
Erick Dampier,2
Erick Strickland,3
Ernie Grunfeld,3
Ersan Ä°lyasova,4
Ervin Johnson,3
Erwin Mueller,2
Etan Thomas,3
Evan Fournier,3
Evan Turner,4
Fat Lever,2
Felton Spencer,2
Flynn Robinson,5
Foots Walker,2
Francisco Elson,2
Francisco GarcÃ­a,2
Frank Brickowski,3
Frank Johnson,3
Frank Kaminsky,2
Frank Kudelka,2
Frank Ntilikina,2
Frank Selvy,3
Frankie Brian,2
Fred Carter,2
Fred Hetzel,3
Fred Hoiberg,2
Fred Roberts,5
Fred Schaus,2
Fred Scolari,4
Freddie Crawford,4
Gail Goodrich,2
Gar Heard,3
Garrett Temple,5
Gary Brokaw,2
Gary Clark,2
Gary Grant,3
Gary Neal,2
Gary Payton,5
Gary Phillips,2
Gary Trent,2
Gary Trent Jr.,2
Gene Banks,2
Gene Shue,3
George Dempsey,2
George Gervin,2
George Hill,6
George Johnson,7
George King,2
George Lee,2
George Lynch,4
George McCloud,2
George McGinnis,2
George Trapp,2
George Wilson,3
George Yardley,3
Georges Niang,2
Gerald Green,5
Gerald Henderson,5
Gerald Wallace,5
Gerald Wilkins,3
Gerry Ward,3
Gilbert Arenas,3
Glen Davis,3
Glen Gondrezick,2
Glen Rice,4
Glenn Robinson,2
Glenn Robinson III,2
Goran DragiÄ‡,3
Gordan GiriÄek,3
Gordon Hayward,2
Gorgui Dieng,2
Grant Hill,4
Grant Long,4
Granville Waiters,2
Grayson Allen,3
Greg Anderson,3
Greg Anthony,3
Greg Ballard,2
Greg Buckner,3
Greg Dreiling,2
Greg Foster,4
Greg Grant,2
Greg Kite,2
Greg Monroe,4
Greg Oden,2
Greg Ostertag,2
Greg Smith,3
Greg Stiemsma,2
Greg Sutton,2
Greivis VÃ¡squez,2
Gus Williams,3
Guy Rodgers,4
Hakeem Olajuwon,2
Hakim Warrick,2
Hal Greer,2
Hank Finkel,3
Hank McDowell,2
Happy Hairston,3
Harry Gallatin,2
Harvey Catchings,3
Harvey Grant,3
Hassan Whiteside,3
Haywoode Workman,2
Hedo TÃ¼rkoÄŸlu,4
Henry Bibby,2
Henry James,2
Henry Walker,2
Herb Williams,3
Herm Gilliam,3
Hersey Hawkins,3
Hilton Armstrong,3
Horace Grant,4
Hot Rod Hundley,2
Hot Rod Williams,2
Howard Eisley,2
Howard Porter,2
Howie Schultz,2
Hub Reed,3
Ian Clark,2
Ian Mahinmi,4
Iman Shumpert,3
Ira Newble,2
Isaac Austin,3
Isaac Bonga,2
Ish Smith,5
J.J. Redick,4
J.R. Reid,4
J.R. Smith,4
JaMychal Green,3
JaVale McGee,5
Jabari Parker,2
Jabari Smith,2
Jack Coleman,2
Jack George,2
Jack Haley,3
Jack Kerris,2
Jack Marin,3
Jack McMahon,2
Jack Nichols,2
Jack Sikma,2
Jacque Vaughn,4
Jae Crowder,5
Jake Tsakalidis,3
Jakob Poeltl,2
Jalen Rose,3
Jamaal Magloire,4
Jamaal Tinsley,2
Jamaal Wilkes,2
Jamal Crawford,3
Jamal Mashburn,3
Jamario Moon,3
James Anderson,2
James Bailey,2
James Donaldson,4
James Edwards,7
James Ennis III,3
James Harden,4
James Johnson,4
James Jones,4
James Posey,4
James Robinson,2
James Singleton,2
James White,2
Jannero Pargo,5
Jared Dudley,5
Jared Jeffries,2
Jarell Martin,2
Jaren Jackson,5
Jarred Vanderbilt,2
Jarrett Jack,3
Jarron Collins,2
Jarvis Hayes,2
Jason Caffey,2
Jason Collins,2
Jason Hart,4
Jason Kapono,2
Jason Kidd,4
Jason Richardson,3
Jason Smith,3
Jason Terry,4
Jason Williams,4
Javonte Green,2
Jay Humphries,3
Jay Vincent,4
Jayson Williams,2
Jeff Ayres,4
Jeff Cook,3
Jeff Grayer,2
Jeff Green,8
Jeff Hornacek,2
Jeff Lamp,3
Jeff Malone,2
Jeff Mullins,3
Jeff Teague,4
Jeff Turner,2
Jeff Wilkins,2
Jerami Grant,2
Jeremy Lamb,2
Jeremy Lin,3
Jeremy Richardson,2
Jerian Grant,2
Jermaine Jackson,2
Jermaine O'Neal,5
Jerome James,2
Jerome Jordan,2
Jerome Kersey,4
Jerome Williams,2
Jerrod Mustaf,2
Jerry Chambers,3
Jerry Fleishman,2
Jerry Lucas,3
Jerry Reynolds,2
Jerry Sichting,3
Jerry Sloan,2
Jerry Stackhouse,4
Jerryd Bayless,4
Jevon Carter,2
Jim Baechtold,2
Jim Barnes,3
Jim Barnett,4
Jim Brewer,3
Jim Chones,3
Jim Cleamons,4
Jim Davis,3
Jim Farmer,2
Jim Fox,5
Jim Jackson,5
Jim King,3
Jim Krebs,2
Jim McMillian,3
Jim Paxson,4
Jim Petersen,2
Jim Price,3
Jim Washington,5
